,home_team,away_team,home_position,away_position,home_team_avg_goals,away_team_avg_goals,home_team_avg_conceded,away_team_avg_conceded,Over2.5
173,21,15,9,8,1.6,1.0,1.6,1.0,0
174,17,2,17,12,0.6,2.4,2.4,0.6,1
175,20,8,5,15,2.2,1.6,1.6,0.6,1
176,13,16,18,7,1.4,1.8,2.2,1.6,0
177,22,6,14,6,1.0,1.4,1.8,2.0,1
178,16,17,7,17,1.0,0.6,1.6,2.4,1
179,18,13,20,18,0.4,1.6,2.0,2.0,1
180,2,9,12,13,2.6,2.6,1.0,1.8,1
181,5,12,19,3,1.6,1.8,0.8,1.0,0
182,15,1,8,4,0.4,1.4,1.4,0.8,1
183,8,14,15,1,1.8,1.6,0.4,1.6,1
184,3,22,16,14,1.0,1.0,1.4,1.4,1
185,6,7,6,10,1.4,1.0,1.6,1.6,1
186,0,21,2,9,1.8,1.6,1.2,1.4,0
187,4,20,11,5,1.2,2.4,1.6,1.4,1
188,13,6,18,6,1.8,1.2,2.2,1.4,1
189,22,8,14,15,1.6,1.8,1.2,1.0,1
190,14,18,1,20,2.0,0.8,1.6,1.6,0
191,7,3,10,16,1.0,1.2,1.8,2.0,1
192,1,5,4,19,1.4,0.6,1.0,1.2,1
193,17,15,17,8,1.2,1.0,2.4,1.6,1
194,20,2,5,12,2.2,2.6,1.6,0.8,1
195,9,0,13,2,2.0,1.4,1.6,1.4,1
196,12,16,3,7,1.4,1.0,0.4,2.2,1
197,21,4,9,11,1.8,1.6,1.2,1.4,0
198,5,13,19,18,1.0,2.0,1.6,2.2,0
199,16,14,7,1,1.4,1.8,2.4,1.0,1
200,6,9,6,13,1.6,1.4,1.4,1.8,0
201,8,1,15,4,1.2,1.8,1.6,1.4,0
202,15,20,8,5,0.8,2.6,1.8,1.4,1
203,0,7,2,10,0.8,1.6,1.2,1.6,1
204,3,17,16,17,0.8,1.6,2.4,1.6,1
205,18,21,20,9,0.8,1.4,1.6,1.0,1
206,2,12,12,3,2.4,1.8,1.0,0.8,1
207,4,22,11,14,1.2,2.0,1.2,1.2,0
208,7,18,10,20,1.4,1.0,2.2,2.0,1
209,1,16,4,7,1.6,1.6,1.4,2.2,1
210,13,4,18,11,1.6,1.0,1.6,1.0,1
211,17,0,17,2,1.8,1.8,2.0,1.0,1
212,9,8,13,15,0.4,0.8,2.0,1.6,0
213,20,3,5,16,2.2,1.2,1.6,2.4,1
214,14,5,1,19,2.4,1.0,1.2,1.6,1
215,12,6,3,6,2.2,1.8,0.6,1.0,1
216,21,2,9,12,1.8,2.0,0.4,1.8,0
217,22,15,14,8,1.8,1.2,1.0,1.6,1
218,8,20,15,5,0.4,2.4,1.6,2.0,1
219,16,13,7,18,1.6,2.2,2.4,1.2,1
220,5,9,19,13,1.2,0.4,1.8,1.4,1
221,4,7,11,10,1.0,1.6,1.4,2.2,1
222,18,1,20,4,1.4,1.4,2.2,1.8,1
223,15,21,8,9,2.0,1.4,2.2,0.6,1
224,6,22,6,14,1.6,2.4,1.8,1.2,1
225,2,17,12,17,1.6,2.0,2.0,2.0,0
226,0,12,2,3,1.8,3.0,1.2,0.8,1
227,3,14,16,1,1.6,2.6,2.8,1.2,1
228,22,3,14,16,2.8,1.6,1.4,3.0,0
229,20,4,5,11,2.4,1.6,2.2,1.4,1
230,13,18,18,20,2.8,1.2,2.0,3.0,1
231,12,5,3,19,3.0,1.2,1.2,2.2,1
232,9,2,13,12,0.8,1.2,1.4,1.8,1
233,17,16,17,7,1.8,2.4,1.6,3.0,1
234,14,8,1,15,2.8,0.6,1.0,1.6,0
235,21,0,9,2,1.0,2.2,1.2,1.2,1
236,1,15,4,8,2.2,2.6,1.6,1.8,1
237,7,6,10,6,1.6,1.8,2.8,2.2,1
238,14,6,1,6,2.6,2.0,0.8,2.2,0
239,5,0,19,2,1.4,3.4,2.4,0.8,1
240,9,1,13,4,1.4,2.0,1.0,1.4,1
241,17,21,17,9,1.6,0.6,2.0,2.4,0
242,20,22,5,14,2.4,2.0,1.6,1.6,1
243,3,12,16,3,1.8,3.2,2.2,1.4,1
244,16,2,7,12,2.8,0.8,2.8,2.4,1
245,18,4,20,11,1.4,1.0,2.6,1.4,1
246,13,15,18,8,2.4,2.4,2.2,1.6,1
247,8,7,15,10,0.4,1.6,1.4,3.0,0
248,14,3,1,16,2.4,1.8,1.0,2.4,0
249,12,13,3,18,3.2,2.2,1.2,2.0,1
250,15,9,8,13,2.6,1.2,1.4,1.2,1
251,7,5,10,19,1.2,1.0,3.0,2.8,1
252,4,8,11,15,2.0,0.6,1.4,1.0,0
253,1,17,4,17,1.8,1.6,1.2,1.8,1
254,2,14,12,1,1.0,2.0,2.2,0.6,0
255,0,16,2,7,4.2,2.8,0.4,2.4,1
256,22,18,14,20,1.8,1.4,1.8,3.2,0
257,21,3,9,16,0.6,1.2,2.8,2.2,1
258,20,7,5,10,2.0,1.8,1.8,2.0,1
259,17,12,17,3,1.6,3.2,2.0,1.4,0
260,16,22,7,14,2.6,2.0,2.6,1.8,1
261,9,4,13,11,1.6,2.2,1.2,1.6,1
262,8,21,15,9,0.8,1.0,1.2,2.8,1
263,3,6,16,6,1.2,1.6,2.4,2.0,1
264,13,1,18,4,2.2,2.6,2.6,1.6,1
265,5,2,19,12,0.8,1.0,3.2,1.6,0
266,14,15,1,8,1.6,2.4,0.4,1.4,1
267,18,0,20,2,1.0,4.0,3.0,0.6,1
268,2,18,12,20,1.2,0.6,1.4,3.6,1
269,0,3,2,16,4.8,1.4,0.4,2.2,1
270,22,9,14,13,1.4,2.2,1.6,1.2,1
271,15,8,8,15,1.8,1.0,1.4,1.8,0
272,7,13,10,18,1.4,1.8,2.2,3.2,0
273,1,20,4,5,3.0,2.2,1.4,1.6,1
274,21,5,9,19,1.4,0.6,2.8,3.0,1
275,4,17,11,17,2.2,1.4,1.4,1.8,0
276,12,14,3,1,2.6,1.6,1.2,0.4,0
277,6,16,6,7,1.8,2.6,2.4,2.4,1
278,2,13,12,18,1.4,1.2,1.6,2.6,1
279,13,17,18,17,1.6,1.2,2.8,1.8,0
280,5,3,19,16,0.6,1.2,3.0,2.6,1
281,9,20,13,5,2.0,2.4,1.2,1.2,1
282,21,1,9,4,1.8,2.0,2.6,2.2,0
